จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
ประจวบคีรีขันธ์,2544,3078,2744,5822
นครศรีธรรมราช,2544,9672,9244,18916
กระบี่,2544,3128,2892,6020
พังงา,2544,1625,1580,3205
ภูเก็ต,2544,2660,2496,5156
สุราษฎร์ธานี,2544,6983,6743,13726
ระนอง,2544,1107,994,2101
ชุมพร,2544,3217,3000,6217
สงขลา,2544,10135,9604,19739
สตูล,2544,2155,2140,4295
ตรัง,2544,4375,4081,8456
พัทลุง,2544,2879,2734,5613
ปัตตานี,2544,6322,5986,12308
ยะลา,2544,5286,5038,10324
นราธิวาส,2544,6780,6433,13213
กรุงเทพมหานคร,2545,56372,52977,109349
สมุทรปราการ,2545,5962,5635,11597
นนทบุรี,2545,4939,4516,9455
ปทุมธานี,2545,4362,4137,8499
พระนครศรีอยุธยา,2545,4646,4251,8897
อ่างทอง,2545,1225,1089,2314
ลพบุรี,2545,3907,3700,7607
สิงห์บุรี,2545,1209,1207,2416
ชัยนาท,2545,1161,1110,2271
สระบุรี,2545,3909,3739,7648
ชลบุรี,2545,11521,10858,22379
ระยอง,2545,3895,3616,7511
จันทบุรี,2545,3023,2687,5710
ตราด,2545,1283,1213,2496
ฉะเชิงเทรา,2545,3239,3011,6250
ปราจีนบุรี,2545,2933,2739,5672
นครนายก,2545,1433,1305,2738
สระแก้ว,2545,3023,2927,5950
นครราชสีมา,2545,14885,14233,29118
บุรีรัมย์,2545,9379,8889,18268
สุรินทร์,2545,8053,7511,15564
ศรีสะเกษ,2545,7931,7582,15513
อุบลราชธานี,2545,11511,10833,22344
ยโสธร,2545,2930,2661,5591
ชัยภูมิ,2545,5156,4899,10055
อำนาจเจริญ,2545,2041,1858,3899
หนองบัวลำภู,2545,2882,2720,5602
ขอนแก่น,2545,9994,9579,19573
อุดรธานี,2545,9668,9208,18876
เลย,2545,3248,3136,6384
หนองคาย,2545,4903,4632,9535
มหาสารคาม,2545,4220,3919,8139
ร้อยเอ็ด,2545,5673,5378,11051
กาฬสินธุ์,2545,4718,4491,9209
สกลนคร,2545,5873,5771,11644
นครพนม,2545,4301,3881,8182
มุกดาหาร,2545,1923,1877,3800
เชียงใหม่,2545,9806,9216,19022
ลำพูน,2545,1623,1543,3166
ลำปาง,2545,3087,3018,6105
อุตรดิตถ์,2545,2356,2177,4533
แพร่,2545,1895,1782,3677
น่าน,2545,2228,2152,4380
พะเยา,2545,2012,1916,3928
เชียงราย,2545,5816,5463,11279
แม่ฮ่องสอน,2545,1958,1766,3724
นครสวรรค์,2545,5368,5191,10559
อุทัยธานี,2545,1796,1688,3484
กำแพงเพชร,2545,3491,3253,6744
ตาก,2545,4871,4748,9619
สุโขทัย,2545,2726,2553,5279
พิษณุโลก,2545,4309,4109,8418
พิจิตร,2545,2482,2302,4784
เพชรบูรณ์,2545,4710,4562,9272
ราชบุรี,2545,5682,5345,11027
กาญจนบุรี,2545,4936,4701,9637
สุพรรณบุรี,2545,4344,4157,8501
นครปฐม,2545,5374,5067,10441
สมุทรสาคร,2545,4917,4671,9588
สมุทรสงคราม,2545,944,905,1849
เพชรบุรี,2545,2483,2193,4676
ประจวบคีรีขันธ์,2545,3004,2915,5919
นครศรีธรรมราช,2545,9483,9042,18525
กระบี่,2545,2881,2719,5600
พังงา,2545,1565,1436,3001
ภูเก็ต,2545,3154,2845,5999
สุราษฎร์ธานี,2545,7379,6976,14355
ระนอง,2545,1157,1064,2221
ชุมพร,2545,3164,3031,6195
สงขลา,2545,10514,9855,20369
สตูล,2545,2331,2221,4552
ตรัง,2545,4488,4105,8593
พัทลุง,2545,2881,2589,5470
ปัตตานี,2545,6475,6282,12757
ยะลา,2545,5449,4969,10418
นราธิวาส,2545,6688,6327,13015
กรุงเทพมหานคร,2546,57018,53101,110119
สมุทรปราการ,2546,6504,5836,12340
นนทบุรี,2546,4400,4211,8611
ปทุมธานี,2546,4695,4381,9076
พระนครศรีอยุธยา,2546,4685,4300,8985
อ่างทอง,2546,1493,1415,2908
ลพบุรี,2546,4044,3826,7870
สิงห์บุรี,2546,1256,1168,2424
ชัยนาท,2546,1319,1238,2557
สระบุรี,2546,4479,4225,8704
ชลบุรี,2546,12101,11398,23499
ระยอง,2546,4462,4130,8592
จันทบุรี,2546,3189,3074,6263
ตราด,2546,1355,1327,2682
ฉะเชิงเทรา,2546,3824,3721,7545
ปราจีนบุรี,2546,2887,2774,5661
นครนายก,2546,1497,1400,2897
สระแก้ว,2546,3247,2899,6146
นครราชสีมา,2546,15129,14359,29488
บุรีรัมย์,2546,8490,8214,16704
สุรินทร์,2546,8164,7517,15681
ศรีสะเกษ,2546,7558,7149,14707
อุบลราชธานี,2546,11482,10925,22407
ยโสธร,2546,2898,2746,5644
ชัยภูมิ,2546,5312,5193,10505
อำนาจเจริญ,2546,1688,1661,3349
หนองบัวลำภู,2546,2805,2610,5415
ขอนแก่น,2546,9958,9111,19069
อุดรธานี,2546,9421,8987,18408
เลย,2546,3479,3265,6744
หนองคาย,2546,5033,4968,10001
มหาสารคาม,2546,4074,3869,7943
ร้อยเอ็ด,2546,5771,5587,11358
กาฬสินธุ์,2546,4769,4611,9380
สกลนคร,2546,6726,6386,13112
นครพนม,2546,3812,3638,7450
มุกดาหาร,2546,1878,1763,3641
เชียงใหม่,2546,9907,9328,19235
ลำพูน,2546,1628,1508,3136
ลำปาง,2546,3068,2798,5866
อุตรดิตถ์,2546,2243,2138,4381
แพร่,2546,1910,1757,3667
น่าน,2546,2135,2114,4249
พะเยา,2546,1967,1816,3783
เชียงราย,2546,5825,5398,11223
แม่ฮ่องสอน,2546,1775,1767,3542
นครสวรรค์,2546,5448,5076,10524
อุทัยธานี,2546,1680,1518,3198
กำแพงเพชร,2546,3564,3331,6895
ตาก,2546,4835,4643,9478
สุโขทัย,2546,2805,2452,5257
พิษณุโลก,2546,4212,4132,8344
พิจิตร,2546,2567,2465,5032
เพชรบูรณ์,2546,4913,4664,9577
ราชบุรี,2546,5880,5595,11475
กาญจนบุรี,2546,4983,4565,9548
สุพรรณบุรี,2546,4603,4295,8898
นครปฐม,2546,5635,5504,11139
สมุทรสาคร,2546,4625,4442,9067
สมุทรสงคราม,2546,943,846,1789
เพชรบุรี,2546,2518,2508,5026
ประจวบคีรีขันธ์,2546,2990,2904,5894
นครศรีธรรมราช,2546,9355,8974,18329
กระบี่,2546,3099,2883,5982
พังงา,2546,1551,1505,3056
ภูเก็ต,2546,3280,2970,6250
สุราษฎร์ธานี,2546,7225,6794,14019
ระนอง,2546,1037,952,1989
ชุมพร,2546,3206,2936,6142
สงขลา,2546,10394,9862,20256
สตูล,2546,2183,2140,4323
ตรัง,2546,4316,3924,8240
พัทลุง,2546,2811,2671,5482
ปัตตานี,2546,6513,6249,12762
ยะลา,2546,5563,5113,10676
นราธิวาส,2546,6534,6297,12831
กรุงเทพมหานคร,2547,60444,56452,116896
สมุทรปราการ,2547,8134,7546,15680
นนทบุรี,2547,6082,5667,11749
ปทุมธานี,2547,5972,5768,11740
พระนครศรีอยุธยา,2547,5168,4787,9955
อ่างทอง,2547,1496,1334,2830
ลพบุรี,2547,4292,4108,8400
สิงห์บุรี,2547,1246,1235,2481
ชัยนาท,2547,1357,1269,2626
สระบุรี,2547,4683,4454,9137
ชลบุรี,2547,13232,12506,25738
ระยอง,2547,4824,4615,9439
จันทบุรี,2547,3534,3341,6875
ตราด,2547,1446,1359,2805
ฉะเชิงเทรา,2547,4363,4109,8472
ปราจีนบุรี,2547,3034,2926,5960
นครนายก,2547,1569,1596,3165
สระแก้ว,2547,3255,3023,6278
นครราชสีมา,2547,15202,14316,29518
บุรีรัมย์,2547,9418,8878,18296
สุรินทร์,2547,7993,7860,15853
ศรีสะเกษ,2547,7693,7325,15018
อุบลราชธานี,2547,11823,11108,22931
ยโสธร,2547,2745,2708,5453
ชัยภูมิ,2547,5718,5293,11011
อำนาจเจริญ,2547,2088,1965,4053
หนองบัวลำภู,2547,2871,2710,5581
ขอนแก่น,2547,10599,10045,20644
อุดรธานี,2547,9201,8878,18079
เลย,2547,3603,3440,7043
หนองคาย,2547,5381,5114,10495
มหาสารคาม,2547,4309,4263,8572
ร้อยเอ็ด,2547,6093,5830,11923
กาฬสินธุ์,2547,5115,4763,9878
สกลนคร,2547,7298,6892,14190
นครพนม,2547,4106,4043,8149
มุกดาหาร,2547,1615,1647,3262
เชียงใหม่,2547,10346,9751,20097
ลำพูน,2547,1729,1567,3296
ลำปาง,2547,3108,2933,6041
อุตรดิตถ์,2547,2005,1915,3920
แพร่,2547,1877,1782,3659
น่าน,2547,2318,2186,4504
พะเยา,2547,2060,2068,4128
เชียงราย,2547,6201,5848,12049
แม่ฮ่องสอน,2547,2076,1968,4044
นครสวรรค์,2547,5703,5382,11085
อุทัยธานี,2547,1833,1740,3573
กำแพงเพชร,2547,3746,3516,7262
ตาก,2547,4677,4475,9152
สุโขทัย,2547,2886,2718,5604
พิษณุโลก,2547,4332,3916,8248
พิจิตร,2547,2517,2314,4831
เพชรบูรณ์,2547,4953,4802,9755
ราชบุรี,2547,4613,4476,9089
กาญจนบุรี,2547,5600,5369,10969
สุพรรณบุรี,2547,4943,4593,9536
นครปฐม,2547,6157,5779,11936
สมุทรสาคร,2547,5506,5180,10686
สมุทรสงคราม,2547,987,893,1880
เพชรบุรี,2547,2672,2662,5334
ประจวบคีรีขันธ์,2547,3271,2980,6251
นครศรีธรรมราช,2547,9617,9074,18691
กระบี่,2547,3607,3397,7004
พังงา,2547,1672,1611,3283
ภูเก็ต,2547,3273,3155,6428
สุราษฎร์ธานี,2547,7395,7258,14653
ระนอง,2547,1116,1071,2187
ชุมพร,2547,3324,3177,6501
สงขลา,2547,11027,10534,21561
สตูล,2547,2477,2346,4823
ตรัง,2547,4527,4140,8667
พัทลุง,2547,2926,2754,5680
ปัตตานี,2547,6290,5942,12232
ยะลา,2547,5455,5011,10466
นราธิวาส,2547,6940,6373,13313
กรุงเทพมหานคร,2548,57775,54093,111868
สมุทรปราการ,2548,7830,7404,15234
นนทบุรี,2548,5896,5543,11439
ปทุมธานี,2548,6365,5595,11960
พระนครศรีอยุธยา,2548,5056,4835,9891
อ่างทอง,2548,1520,1460,2980
ลพบุรี,2548,4208,3962,8170
สิงห์บุรี,2548,1218,1275,2493
ชัยนาท,2548,1408,1380,2788
สระบุรี,2548,4596,4268,8864
ชลบุรี,2548,13685,12994,26679
ระยอง,2548,4902,4762,9664
จันทบุรี,2548,3293,3100,6393
ตราด,2548,1432,1306,2738
ฉะเชิงเทรา,2548,3978,3994,7972
ปราจีนบุรี,2548,2988,3004,5992
นครนายก,2548,1672,1603,3275
สระแก้ว,2548,3216,3024,6240
นครราชสีมา,2548,14624,13992,28616
บุรีรัมย์,2548,9225,8614,17839
สุรินทร์,2548,7961,7571,15532
ศรีสะเกษ,2548,7504,7037,14541
อุบลราชธานี,2548,11328,10765,22093
ยโสธร,2548,2597,2451,5048
ชัยภูมิ,2548,5479,5223,10702
อำนาจเจริญ,2548,2009,1943,3952
หนองบัวลำภู,2548,2769,2678,5447
ขอนแก่น,2548,10208,9724,19932
อุดรธานี,2548,9011,8513,17524
เลย,2548,3486,3355,6841
หนองคาย,2548,5296,4931,10227
มหาสารคาม,2548,4171,4144,8315
ร้อยเอ็ด,2548,5985,5675,11660
กาฬสินธุ์,2548,4896,4674,9570
สกลนคร,2548,7121,6766,13887
นครพนม,2548,4171,3957,8128
มุกดาหาร,2548,1682,1679,3361
เชียงใหม่,2548,10074,9680,19754
ลำพูน,2548,1717,1593,3310
ลำปาง,2548,3092,2821,5913
อุตรดิตถ์,2548,2334,2143,4477
แพร่,2548,1869,1712,3581
น่าน,2548,2228,2054,4282
พะเยา,2548,2071,1883,3954
เชียงราย,2548,5886,5808,11694
แม่ฮ่องสอน,2548,1987,1774,3761
นครสวรรค์,2548,5438,5249,10687
อุทัยธานี,2548,1741,1688,3429
กำแพงเพชร,2548,3680,3352,7032
ตาก,2548,5141,4962,10103
สุโขทัย,2548,2865,2564,5429
พิษณุโลก,2548,4538,4199,8737
พิจิตร,2548,2484,2383,4867
เพชรบูรณ์,2548,4724,4603,9327
ราชบุรี,2548,5275,4989,10264
กาญจนบุรี,2548,5494,5118,10612
สุพรรณบุรี,2548,4720,4482,9202
นครปฐม,2548,5790,5347,11137
สมุทรสาคร,2548,5491,5106,10597
สมุทรสงคราม,2548,978,924,1902
เพชรบุรี,2548,2757,2644,5401
ประจวบคีรีขันธ์,2548,3268,3061,6329
นครศรีธรรมราช,2548,9420,8799,18219
กระบี่,2548,3761,3596,7357
พังงา,2548,1647,1602,3249
ภูเก็ต,2548,3527,3328,6855
สุราษฎร์ธานี,2548,7721,7231,14952
ระนอง,2548,1144,1112,2256
ชุมพร,2548,3244,3139,6383
สงขลา,2548,11122,10343,21465
สตูล,2548,2428,2337,4765
ตรัง,2548,4645,4388,9033
พัทลุง,2548,2989,2786,5775
ปัตตานี,2548,6249,5931,12180
ยะลา,2548,5251,5162,10413
นราธิวาส,2548,6860,6409,13269
กรุงเทพมหานคร,2549,56923,53001,109924
สมุทรปราการ,2549,9649,8918,18567
นนทบุรี,2549,6019,5763,11782
ปทุมธานี,2549,7831,7265,15096
พระนครศรีอยุธยา,2549,5002,4849,9851
อ่างทอง,2549,1475,1403,2878
ลพบุรี,2549,3956,3827,7783
สิงห์บุรี,2549,1163,1074,2237
ชัยนาท,2549,1460,1388,2848
สระบุรี,2549,4571,4260,8831
ชลบุรี,2549,14310,13443,27753
ระยอง,2549,4952,4731,9683
จันทบุรี,2549,3301,3139,6440
ตราด,2549,1351,1254,2605
ฉะเชิงเทรา,2549,4175,4094,8269
ปราจีนบุรี,2549,3083,2846,5929
นครนายก,2549,1541,1431,2972
สระแก้ว,2549,3075,2921,5996
นครราชสีมา,2549,14101,13203,27304
บุรีรัมย์,2549,8666,7866,16532
สุรินทร์,2549,7388,6931,14319
ศรีสะเกษ,2549,7396,6871,14267
อุบลราชธานี,2549,10810,10251,21061
ยโสธร,2549,2484,2379,4863
ชัยภูมิ,2549,5330,4994,10324
อำนาจเจริญ,2549,1993,1820,3813
หนองบัวลำภู,2549,2760,2621,5381
ขอนแก่น,2549,9943,9390,19333
อุดรธานี,2549,8720,8328,17048
เลย,2549,3444,3219,6663
หนองคาย,2549,5076,4863,9939
มหาสารคาม,2549,4128,3868,7996
ร้อยเอ็ด,2549,5763,5359,11122
กาฬสินธุ์,2549,4748,4478,9226
สกลนคร,2549,7024,6463,13487
นครพนม,2549,3990,3854,7844
มุกดาหาร,2549,1996,1858,3854
เชียงใหม่,2549,10470,9680,20150
ลำพูน,2549,1741,1580,3321
ลำปาง,2549,2794,2636,5430
อุตรดิตถ์,2549,2180,1960,4140
แพร่,2549,1662,1655,3317
น่าน,2549,2218,2130,4348
พะเยา,2549,1973,1898,3871
เชียงราย,2549,5818,5590,11408
แม่ฮ่องสอน,2549,1921,1798,3719
นครสวรรค์,2549,5423,5143,10566
อุทัยธานี,2549,1774,1655,3429
กำแพงเพชร,2549,3370,3265,6635
ตาก,2549,4399,4292,8691
สุโขทัย,2549,2768,2478,5246
พิษณุโลก,2549,4419,4150,8569
พิจิตร,2549,2503,2430,4933
เพชรบูรณ์,2549,4719,4313,9032
ราชบุรี,2549,5898,5499,11397
กาญจนบุรี,2549,5370,4916,10286
สุพรรณบุรี,2549,4684,4490,9174
นครปฐม,2549,4881,4724,9605
สมุทรสาคร,2549,6220,5756,11976
สมุทรสงคราม,2549,903,762,1665
เพชรบุรี,2549,2862,2602,5464
ประจวบคีรีขันธ์,2549,3338,2983,6321
นครศรีธรรมราช,2549,9339,8938,18277
กระบี่,2549,3762,3418,7180
พังงา,2549,1751,1655,3406
ภูเก็ต,2549,3615,3258,6873
สุราษฎร์ธานี,2549,7699,7378,15077
ระนอง,2549,1134,1115,2249
ชุมพร,2549,3205,3016,6221
สงขลา,2549,10974,10300,21274
สตูล,2549,2426,2305,4731
ตรัง,2549,4785,4479,9264
พัทลุง,2549,2924,2839,5763
ปัตตานี,2549,6214,5899,12113
ยะลา,2549,5380,5035,10415
นราธิวาส,2549,6936,6632,13568
กรุงเทพมหานคร,2550,57296,53238,110534
สมุทรปราการ,2550,8273,7710,15983
นนทบุรี,2550,6114,5648,11762
ปทุมธานี,2550,6882,6356,13238
พระนครศรีอยุธยา,2550,5454,5017,10471
อ่างทอง,2550,1601,1497,3098
ลพบุรี,2550,4151,3777,7928
สิงห์บุรี,2550,1202,1169,2371
ชัยนาท,2550,1553,1475,3028
สระบุรี,2550,4675,4391,9066
ชลบุรี,2550,14625,13900,28525
ระยอง,2550,5109,4910,10019
จันทบุรี,2550,3311,3180,6491
ตราด,2550,1378,1310,2688
ฉะเชิงเทรา,2550,4433,4229,8662
ปราจีนบุรี,2550,3124,3034,6158
นครนายก,2550,1799,1604,3403
สระแก้ว,2550,3048,3024,6072
นครราชสีมา,2550,14454,13481,27935
บุรีรัมย์,2550,8592,8136,16728
สุรินทร์,2550,7376,7174,14550
ศรีสะเกษ,2550,7349,7142,14491
อุบลราชธานี,2550,10955,10306,21261
ยโสธร,2550,2590,2433,5023
ชัยภูมิ,2550,5635,5204,10839
อำนาจเจริญ,2550,1959,1816,3775
หนองบัวลำภู,2550,2687,2516,5203
ขอนแก่น,2550,10109,9440,19549
อุดรธานี,2550,8679,8185,16864
เลย,2550,3420,3330,6750
หนองคาย,2550,5013,4915,9928
มหาสารคาม,2550,4165,3921,8086
ร้อยเอ็ด,2550,5713,5546,11259
กาฬสินธุ์,2550,4884,4619,9503
สกลนคร,2550,6874,6597,13471
นครพนม,2550,3948,3813,7761
มุกดาหาร,2550,2026,1894,3920
เชียงใหม่,2550,9873,9066,18939
ลำพูน,2550,1785,1607,3392
ลำปาง,2550,2735,2720,5455
อุตรดิตถ์,2550,2154,2073,4227
แพร่,2550,1758,1711,3469
น่าน,2550,2251,2110,4361
พะเยา,2550,2039,1862,3901
เชียงราย,2550,5840,5595,11435
แม่ฮ่องสอน,2550,1864,1730,3594
นครสวรรค์,2550,5556,5326,10882
อุทัยธานี,2550,1811,1724,3535
กำแพงเพชร,2550,3522,3299,6821
ตาก,2550,4298,3989,8287
สุโขทัย,2550,2762,2632,5394
พิษณุโลก,2550,4457,4226,8683
พิจิตร,2550,2654,2409,5063
เพชรบูรณ์,2550,4809,4432,9241
ราชบุรี,2550,6026,5677,11703
กาญจนบุรี,2550,5513,5218,10731
สุพรรณบุรี,2550,4790,4543,9333
นครปฐม,2550,5627,5210,10837
สมุทรสาคร,2550,5393,5112,10505
สมุทรสงคราม,2550,764,704,1468
เพชรบุรี,2550,2900,2796,5696
ประจวบคีรีขันธ์,2550,3313,3191,6504
นครศรีธรรมราช,2550,9744,9292,19036
กระบี่,2550,3952,3632,7584
พังงา,2550,1719,1696,3415
ภูเก็ต,2550,3847,3570,7417
สุราษฎร์ธานี,2550,8744,8008,16752
ระนอง,2550,1086,1097,2183
ชุมพร,2550,3327,3133,6460
สงขลา,2550,11104,10480,21584
สตูล,2550,2445,2340,4785
ตรัง,2550,4619,4498,9117
พัทลุง,2550,3045,2923,5968
ปัตตานี,2550,6577,6135,12712
ยะลา,2550,5490,5222,10712
นราธิวาส,2550,7134,6676,13810
กรุงเทพมหานคร,2551,55213,51566,106779
สมุทรปราการ,2551,7994,7616,15610
นนทบุรี,2551,6015,5651,11666
ปทุมธานี,2551,6704,6358,13062
พระนครศรีอยุธยา,2551,5284,5005,10289
อ่างทอง,2551,1551,1489,3040
ลพบุรี,2551,4042,3759,7801
สิงห์บุรี,2551,1179,1101,2280
ชัยนาท,2551,1514,1394,2908
สระบุรี,2551,4487,4211,8698
ชลบุรี,2551,15010,14059,29069
ระยอง,2551,5425,4919,10344
จันทบุรี,2551,3260,3185,6445
ตราด,2551,1416,1317,2733
ฉะเชิงเทรา,2551,4419,4058,8477
ปราจีนบุรี,2551,3140,3028,6168
นครนายก,2551,1827,1622,3449
สระแก้ว,2551,3179,3040,6219
นครราชสีมา,2551,14391,13960,28351
บุรีรัมย์,2551,8545,7994,16539
สุรินทร์,2551,7091,6810,13901
ศรีสะเกษ,2551,7142,6670,13812
อุบลราชธานี,2551,10754,10383,21137
ยโสธร,2551,2570,2385,4955
ชัยภูมิ,2551,5307,5043,10350
อำนาจเจริญ,2551,1877,1877,3754
หนองบัวลำภู,2551,2641,2512,5153
ขอนแก่น,2551,10000,9176,19176
อุดรธานี,2551,8470,8189,16659
เลย,2551,3364,3244,6608
หนองคาย,2551,5078,4769,9847
มหาสารคาม,2551,4032,3804,7836
ร้อยเอ็ด,2551,5364,5166,10530
กาฬสินธุ์,2551,4702,4416,9118
สกลนคร,2551,6944,6578,13522
นครพนม,2551,3721,3626,7347
มุกดาหาร,2551,1979,1849,3828
เชียงใหม่,2551,9510,8863,18373
ลำพูน,2551,1743,1650,3393
ลำปาง,2551,2589,2560,5149
อุตรดิตถ์,2551,2077,1907,3984
แพร่,2551,1746,1573,3319
น่าน,2551,2185,1964,4149
พะเยา,2551,1881,1795,3676
เชียงราย,2551,5820,5449,11269
แม่ฮ่องสอน,2551,1796,1656,3452
นครสวรรค์,2551,5478,4960,10438
อุทัยธานี,2551,1802,1648,3450
กำแพงเพชร,2551,3357,3197,6554
ตาก,2551,5336,4941,10277
สุโขทัย,2551,2654,2451,5105
พิษณุโลก,2551,4288,4208,8496
พิจิตร,2551,2583,2438,5021
เพชรบูรณ์,2551,4622,4283,8905
ราชบุรี,2551,5741,5467,11208
กาญจนบุรี,2551,5244,5057,10301
สุพรรณบุรี,2551,4735,4314,9049
นครปฐม,2551,5246,4963,10209
สมุทรสาคร,2551,5455,5048,10503
สมุทรสงคราม,2551,672,679,1351
เพชรบุรี,2551,2752,2537,5289
ประจวบคีรีขันธ์,2551,3394,3125,6519
นครศรีธรรมราช,2551,9598,9050,18648
กระบี่,2551,3886,3725,7611
พังงา,2551,1820,1663,3483
ภูเก็ต,2551,3881,3783,7664
สุราษฎร์ธานี,2551,8527,7869,16396
ระนอง,2551,1040,1023,2063
ชุมพร,2551,3310,3098,6408
สงขลา,2551,11033,10251,21284
สตูล,2551,2521,2322,4843
ตรัง,2551,4647,4346,8993
พัทลุง,2551,3086,2950,6036
ปัตตานี,2551,6551,6029,12580
ยะลา,2551,5300,5170,10470
นราธิวาส,2551,7200,6778,13978
กรุงเทพมหานคร,2552,54213,50722,104935
สมุทรปราการ,2552,7735,7150,14885
นนทบุรี,2552,5809,5406,11215
ปทุมธานี,2552,6246,5821,12067
พระนครศรีอยุธยา,2552,5003,4787,9790
อ่างทอง,2552,1532,1489,3021
ลพบุรี,2552,4003,3761,7764
สิงห์บุรี,2552,1235,1116,2351
ชัยนาท,2552,1526,1486,3012
สระบุรี,2552,4329,4160,8489
ชลบุรี,2552,14690,13805,28495
ระยอง,2552,5445,4966,10411
จันทบุรี,2552,3376,3159,6535
ตราด,2552,1319,1198,2517
ฉะเชิงเทรา,2552,4441,4113,8554
ปราจีนบุรี,2552,3031,2901,5932
นครนายก,2552,1812,1694,3506
สระแก้ว,2552,3088,3094,6182
นครราชสีมา,2552,14237,13480,27717
บุรีรัมย์,2552,8568,7979,16547
สุรินทร์,2552,7164,6777,13941
ศรีสะเกษ,2552,7085,6820,13905
อุบลราชธานี,2552,10936,10242,21178
ยโสธร,2552,2378,2350,4728
ชัยภูมิ,2552,5607,5160,10767
อำนาจเจริญ,2552,1814,1783,3597
หนองบัวลำภู,2552,2668,2465,5133
ขอนแก่น,2552,9989,9532,19521
อุดรธานี,2552,8725,8176,16901
เลย,2552,3502,3264,6766
หนองคาย,2552,4973,4580,9553
มหาสารคาม,2552,4039,3862,7901
ร้อยเอ็ด,2552,5446,5204,10650
กาฬสินธุ์,2552,4578,4401,8979
สกลนคร,2552,6811,6575,13386
นครพนม,2552,3582,3543,7125
มุกดาหาร,2552,1928,1822,3750
เชียงใหม่,2552,9333,8784,18117
ลำพูน,2552,1708,1549,3257
ลำปาง,2552,2628,2486,5114
อุตรดิตถ์,2552,2090,1858,3948
แพร่,2552,1704,1596,3300
น่าน,2552,2156,1975,4131
พะเยา,2552,1975,1700,3675
เชียงราย,2552,5880,5404,11284
แม่ฮ่องสอน,2552,1781,1742,3523
นครสวรรค์,2552,5506,5218,10724
อุทัยธานี,2552,1699,1606,3305
กำแพงเพชร,2552,3370,3110,6480
ตาก,2552,4513,4138,8651
สุโขทัย,2552,2774,2578,5352
พิษณุโลก,2552,4460,4260,8720
พิจิตร,2552,2713,2502,5215
เพชรบูรณ์,2552,4438,4286,8724
ราชบุรี,2552,5624,5313,10937
กาญจนบุรี,2552,5164,4847,10011
สุพรรณบุรี,2552,4818,4538,9356
นครปฐม,2552,4890,4701,9591
สมุทรสาคร,2552,5243,4918,10161
สมุทรสงคราม,2552,732,633,1365
เพชรบุรี,2552,2711,2411,5122
ประจวบคีรีขันธ์,2552,3341,3091,6432
นครศรีธรรมราช,2552,9768,8974,18742
กระบี่,2552,3936,3742,7678
พังงา,2552,1747,1578,3325
ภูเก็ต,2552,3901,3734,7635
สุราษฎร์ธานี,2552,8480,7991,16471
ระนอง,2552,1161,1050,2211
ชุมพร,2552,3350,3100,6450
สงขลา,2552,10868,10181,21049
สตูล,2552,2537,2367,4904
ตรัง,2552,4592,4240,8832
พัทลุง,2552,2949,2910,5859
ปัตตานี,2552,6336,6123,12459
ยะลา,2552,5353,5117,10470
นราธิวาส,2552,6878,6575,13453
กรุงเทพมหานคร,2553,51562,48166,99728
สมุทรปราการ,2553,7902,7086,14988
นนทบุรี,2553,5762,5569,11331
ปทุมธานี,2553,6246,5855,12101
พระนครศรีอยุธยา,2553,4843,4599,9442
อ่างทอง,2553,1423,1466,2889
ลพบุรี,2553,3793,3635,7428
สิงห์บุรี,2553,1146,1036,2182
ชัยนาท,2553,1572,1430,3002
สระบุรี,2553,4167,3998,8165
ชลบุรี,2553,14280,13423,27703
ระยอง,2553,5161,4707,9868
จันทบุรี,2553,3209,3107,6316
ตราด,2553,1274,1178,2452
ฉะเชิงเทรา,2553,4200,3983,8183
ปราจีนบุรี,2553,3059,2824,5883
นครนายก,2553,1694,1627,3321
สระแก้ว,2553,3107,2979,6086
นครราชสีมา,2553,13677,13056,26733
บุรีรัมย์,2553,8392,7938,16330
สุรินทร์,2553,7160,6713,13873
ศรีสะเกษ,2553,7039,6766,13805
อุบลราชธานี,2553,10634,10107,20741
ยโสธร,2553,2417,2306,4723
ชัยภูมิ,2553,5284,5030,10314
อำนาจเจริญ,2553,1878,1772,3650
หนองบัวลำภู,2553,2626,2374,5000
ขอนแก่น,2553,9771,9276,19047
อุดรธานี,2553,8389,8052,16441
เลย,2553,3393,3277,6670
หนองคาย,2553,4923,4578,9501
มหาสารคาม,2553,3823,3758,7581
ร้อยเอ็ด,2553,5372,5034,10406
กาฬสินธุ์,2553,4663,4445,9108
สกลนคร,2553,6551,6405,12956
นครพนม,2553,3510,3296,6806
มุกดาหาร,2553,1879,1761,3640
เชียงใหม่,2553,9274,8819,18093
ลำพูน,2553,1734,1622,3356
ลำปาง,2553,2547,2428,4975
อุตรดิตถ์,2553,1992,1938,3930
แพร่,2553,1695,1583,3278
น่าน,2553,2040,2019,4059
พะเยา,2553,1878,1778,3656
เชียงราย,2553,5762,5573,11335
แม่ฮ่องสอน,2553,1835,1714,3549
นครสวรรค์,2553,5318,5154,10472
อุทัยธานี,2553,1569,1579,3148
กำแพงเพชร,2553,3058,2890,5948
ตาก,2553,4524,4283,8807
สุโขทัย,2553,2675,2487,5162
พิษณุโลก,2553,4435,4138,8573
พิจิตร,2553,2725,2511,5236
เพชรบูรณ์,2553,4334,4090,8424
ราชบุรี,2553,5254,5105,10359
กาญจนบุรี,2553,5102,4738,9840
