จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
จังหวัดแม่ฮ่องสอน,2537,2743,2512,5255
จังหวัดนครสวรรค์,2537,7144,6888,14032
จังหวัดอุทัยธานี,2537,2482,2344,4826
จังหวัดกำแพงเพชร,2537,4687,4723,9410
จังหวัดตาก,2537,3992,3870,7862
จังหวัดสุโขทัย,2537,3520,3260,6780
จังหวัดพิษณุโลก,2537,5832,5511,11343
จังหวัดพิจิตร,2537,3709,3458,7167
จังหวัดเพชรบูรณ์,2537,6247,5964,12211
จังหวัดราชบุรี,2537,7895,7487,15382
จังหวัดกาญจนบุรี,2537,5460,5258,10718
จังหวัดสุพรรณบุรี,2537,5380,5232,10612
จังหวัดนครปฐม,2537,5979,5454,11433
จังหวัดสมุทรสาคร,2537,4154,3672,7826
จังหวัดสมุทรสงคราม,2537,1175,1044,2219
จังหวัดเพชรบุรี,2537,2620,2452,5072
จังหวัดประจวบคีรีขันธ์,2537,3374,3272,6646
จังหวัดนครศรีธรรมราช,2537,12254,11573,23827
จังหวัดกระบี่,2537,3217,3007,6224
จังหวัดพังงา,2537,1984,1985,3969
จังหวัดภูเก็ต,2537,2658,2572,5230
จังหวัดสุราษฎร์ธานี,2537,7713,7563,15276
จังหวัดระนอง,2537,1384,1279,2663
จังหวัดชุมพร,2537,3568,3337,6905
จังหวัดสงขลา,2537,11972,11212,23184
จังหวัดสตูล,2537,2478,2432,4910
จังหวัดตรัง,2537,5514,5259,10773
จังหวัดพัทลุง,2537,3865,3648,7513
จังหวัดปัตตานี,2537,6473,6180,12653
จังหวัดยะลา,2537,5754,5427,11181
จังหวัดนราธิวาส,2537,7130,6865,13995
กรุงเทพมหานคร,2538,70009,66108,136117
จังหวัดสมุทรปราการ,2538,6428,6131,12559
จังหวัดนนทบุรี,2538,5643,5073,10716
จังหวัดปทุมธานี,2538,3245,3050,6295
จังหวัดพระนครศรีอยุธยา,2538,4799,4580,9379
จังหวัดอ่างทอง,2538,1568,1487,3055
จังหวัดลพบุรี,2538,4691,4462,9153
จังหวัดสิงห์บุรี,2538,1572,1406,2978
จังหวัดชัยนาท,2538,1398,1310,2708
จังหวัดสระบุรี,2538,4418,4247,8665
จังหวัดชลบุรี,2538,10058,9877,19935
จังหวัดระยอง,2538,4299,3998,8297
จังหวัดจันทบุรี,2538,4370,4167,8537
จังหวัดตราด,2538,1629,1560,3189
จังหวัดฉะเชิงเทรา,2538,4101,4029,8130
จังหวัดปราจีนบุรี,2538,3068,2907,5975
จังหวัดนครนายก,2538,1662,1608,3270
จังหวัดสระแก้ว,2538,3127,2910,6037
จังหวัดนครราชสีมา,2538,17267,16623,33890
จังหวัดบุรีรัมย์,2538,11418,11039,22457
จังหวัดสุรินทร์,2538,10098,9729,19827
จังหวัดศรีสะเกษ,2538,11487,11254,22741
จังหวัดอุบลราชธานี,2538,14720,14202,28922
จังหวัดยโสธร,2538,4155,3871,8026
จังหวัดชัยภูมิ,2538,6008,5671,11679
จังหวัดอำนาจเจริญ,2538,2579,2507,5086
จังหวัดหนองบัวลำภู,2538,3657,3589,7246
จังหวัดขอนแก่น,2538,14470,13923,28393
จังหวัดอุดรธานี,2538,11662,11031,22693
จังหวัดเลย,2538,4387,4229,8616
จังหวัดหนองคาย,2538,7116,6833,13949
จังหวัดมหาสารคาม,2538,5198,5169,10367
จังหวัดร้อยเอ็ด,2538,8050,7759,15809
จังหวัดกาฬสินธุ์,2538,5869,5658,11527
จังหวัดสกลนคร,2538,8671,8379,17050
จังหวัดนครพนม,2538,5269,5192,10461
จังหวัดมุกดาหาร,2538,2642,2498,5140
จังหวัดเชียงใหม่,2538,10488,10207,20695
จังหวัดลำพูน,2538,1684,1513,3197
จังหวัดลำปาง,2538,4635,4501,9136
จังหวัดอุตรดิตถ์,2538,2659,2591,5250
จังหวัดแพร่,2538,2579,2526,5105
จังหวัดน่าน,2538,4658,4390,9048
จังหวัดพะเยา,2538,3209,3162,6371
จังหวัดเชียงราย,2538,7507,7142,14649
จังหวัดแม่ฮ่องสอน,2538,2823,2660,5483
จังหวัดนครสวรรค์,2538,6437,6141,12578
จังหวัดอุทัยธานี,2538,2365,2221,4586
จังหวัดกำแพงเพชร,2538,4581,4530,9111
จังหวัดตาก,2538,4229,3888,8117
จังหวัดสุโขทัย,2538,3300,3133,6433
จังหวัดพิษณุโลก,2538,5597,5414,11011
จังหวัดพิจิตร,2538,3467,3112,6579
จังหวัดเพชรบูรณ์,2538,5844,5620,11464
จังหวัดราชบุรี,2538,7566,7309,14875
จังหวัดกาญจนบุรี,2538,5273,5090,10363
จังหวัดสุพรรณบุรี,2538,5314,4961,10275
จังหวัดนครปฐม,2538,5662,5527,11189
จังหวัดสมุทรสาคร,2538,4445,4221,8666
จังหวัดสมุทรสงคราม,2538,1115,1060,2175
จังหวัดเพชรบุรี,2538,2375,2296,4671
จังหวัดประจวบคีรีขันธ์,2538,3113,2955,6068
จังหวัดนครศรีธรรมราช,2538,11014,10555,21569
จังหวัดกระบี่,2538,3065,2896,5961
จังหวัดพังงา,2538,2024,1871,3895
จังหวัดภูเก็ต,2538,2748,2518,5266
จังหวัดสุราษฎร์ธานี,2538,7295,6916,14211
จังหวัดระนอง,2538,1486,1439,2925
จังหวัดชุมพร,2538,3863,3663,7526
จังหวัดสงขลา,2538,12144,11242,23386
จังหวัดสตูล,2538,2352,2104,4456
จังหวัดตรัง,2538,5075,4931,10006
จังหวัดพัทลุง,2538,3435,3350,6785
จังหวัดปัตตานี,2538,6508,6439,12947
จังหวัดยะลา,2538,5583,5327,10910
จังหวัดนราธิวาส,2538,6661,6483,13144
กรุงเทพมหานคร,2539,77979,72482,150461
จังหวัดสมุทรปราการ,2539,8316,7783,16099
จังหวัดนนทบุรี,2539,5908,5461,11369
จังหวัดปทุมธานี,2539,3279,2962,6241
จังหวัดพระนครศรีอยุธยา,2539,4895,4681,9576
จังหวัดอ่างทอง,2539,1671,1690,3361
จังหวัดลพบุรี,2539,4733,4566,9299
จังหวัดสิงห์บุรี,2539,1677,1564,3241
จังหวัดชัยนาท,2539,1535,1449,2984
จังหวัดสระบุรี,2539,5415,5071,10486
จังหวัดชลบุรี,2539,12134,11270,23404
จังหวัดระยอง,2539,4912,4790,9702
จังหวัดจันทบุรี,2539,4348,3969,8317
จังหวัดตราด,2539,1692,1629,3321
จังหวัดฉะเชิงเทรา,2539,4663,4376,9039
จังหวัดปราจีนบุรี,2539,3276,3063,6339
จังหวัดนครนายก,2539,1663,1609,3272
จังหวัดสระแก้ว,2539,4047,3748,7795
จังหวัดนครราชสีมา,2539,17217,16452,33669
จังหวัดบุรีรัมย์,2539,11637,11215,22852
จังหวัดสุรินทร์,2539,11108,10415,21523
จังหวัดศรีสะเกษ,2539,11208,10848,22056
จังหวัดอุบลราชธานี,2539,15084,14302,29386
จังหวัดยโสธร,2539,4190,4133,8323
จังหวัดชัยภูมิ,2539,6268,6158,12426
จังหวัดอำนาจเจริญ,2539,2500,2428,4928
จังหวัดหนองบัวลำภู,2539,3995,3680,7675
จังหวัดขอนแก่น,2539,15634,14893,30527
จังหวัดอุดรธานี,2539,12277,11816,24093
จังหวัดเลย,2539,4155,4122,8277
จังหวัดหนองคาย,2539,7060,6762,13822
จังหวัดมหาสารคาม,2539,5801,5593,11394
จังหวัดร้อยเอ็ด,2539,8785,8305,17090
จังหวัดกาฬสินธุ์,2539,6473,6223,12696
จังหวัดสกลนคร,2539,8114,7567,15681
จังหวัดนครพนม,2539,5431,5240,10671
จังหวัดมุกดาหาร,2539,2862,2749,5611
จังหวัดเชียงใหม่,2539,8670,8269,16939
จังหวัดลำพูน,2539,1832,1680,3512
จังหวัดลำปาง,2539,4769,4524,9293
จังหวัดอุตรดิตถ์,2539,3121,2941,6062
จังหวัดแพร่,2539,2913,2768,5681
จังหวัดน่าน,2539,3945,3910,7855
จังหวัดพะเยา,2539,3167,3182,6349
จังหวัดเชียงราย,2539,8277,7561,15838
จังหวัดแม่ฮ่องสอน,2539,3440,3203,6643
จังหวัดนครสวรรค์,2539,7036,6844,13880
จังหวัดอุทัยธานี,2539,2423,2272,4695
จังหวัดกำแพงเพชร,2539,4462,4286,8748
จังหวัดตาก,2539,5095,4837,9932
จังหวัดสุโขทัย,2539,3600,3416,7016
จังหวัดพิษณุโลก,2539,5852,5565,11417
จังหวัดพิจิตร,2539,3617,3485,7102
จังหวัดเพชรบูรณ์,2539,6207,6019,12226
จังหวัดราชบุรี,2539,8029,7715,15744
จังหวัดกาญจนบุรี,2539,5676,5406,11082
จังหวัดสุพรรณบุรี,2539,5573,5305,10878
จังหวัดนครปฐม,2539,6263,6001,12264
