จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
จังหวัดสตูล,2542,2224,2037,4261
จังหวัดตรัง,2542,4266,4029,8295
จังหวัดพัทลุง,2542,2868,2596,5464
จังหวัดปัตตานี,2542,5327,4982,10309
จังหวัดยะลา,2542,4260,3894,8154
จังหวัดนราธิวาส,2542,6275,5940,12215
กรุงเทพมหานคร,2543,56725,53217,109942
จังหวัดสมุทรปราการ,2543,6808,6375,13183
จังหวัดนนทบุรี,2543,4619,4328,8947
จังหวัดปทุมธานี,2543,2544,2436,4980
จังหวัดพระนครศรีอยุธยา,2543,2806,2665,5471
จังหวัดอ่างทอง,2543,1321,1264,2585
จังหวัดลพบุรี,2543,4077,3867,7944
จังหวัดสิงห์บุรี,2543,1328,1216,2544
จังหวัดชัยนาท,2543,1207,1110,2317
จังหวัดสระบุรี,2543,4084,3777,7861
จังหวัดชลบุรี,2543,9531,9279,18810
จังหวัดระยอง,2543,3684,3620,7304
จังหวัดจันทบุรี,2543,3134,2960,6094
จังหวัดตราด,2543,1589,1448,3037
จังหวัดฉะเชิงเทรา,2543,3902,3764,7666
จังหวัดปราจีนบุรี,2543,3159,2862,6021
จังหวัดนครนายก,2543,1327,1277,2604
จังหวัดสระแก้ว,2543,3020,2863,5883
จังหวัดนครราชสีมา,2543,15400,14722,30122
จังหวัดบุรีรัมย์,2543,9479,8969,18448
จังหวัดสุรินทร์,2543,9115,8764,17879
จังหวัดศรีสะเกษ,2543,8671,8622,17293
จังหวัดอุบลราชธานี,2543,11949,11604,23553
จังหวัดยโสธร,2543,3080,2877,5957
จังหวัดชัยภูมิ,2543,5653,5414,11067
จังหวัดอำนาจเจริญ,2543,1933,1887,3820
จังหวัดหนองบัวลำภู,2543,2613,2495,5108
จังหวัดขอนแก่น,2543,11254,10624,21878
จังหวัดอุดรธานี,2543,10135,9596,19731
จังหวัดเลย,2543,3158,2915,6073
จังหวัดหนองคาย,2543,5920,5694,11614
จังหวัดมหาสารคาม,2543,4401,4189,8590
จังหวัดร้อยเอ็ด,2543,5783,5503,11286
จังหวัดกาฬสินธุ์,2543,5075,4941,10016
จังหวัดสกลนคร,2543,6697,6359,13056
จังหวัดนครพนม,2543,4537,4480,9017
จังหวัดมุกดาหาร,2543,2229,2084,4313
จังหวัดเชียงใหม่,2543,9695,9352,19047
จังหวัดลำพูน,2543,1322,1198,2520
จังหวัดลำปาง,2543,2330,2287,4617
จังหวัดอุตรดิตถ์,2543,2200,1988,4188
จังหวัดแพร่,2543,1853,1781,3634
จังหวัดน่าน,2543,2279,2154,4433
จังหวัดพะเยา,2543,1735,1714,3449
จังหวัดเชียงราย,2543,5601,5358,10959
จังหวัดแม่ฮ่องสอน,2543,1948,1844,3792
จังหวัดนครสวรรค์,2543,5508,5382,10890
จังหวัดอุทัยธานี,2543,1976,1780,3756
จังหวัดกำแพงเพชร,2543,3417,3363,6780
จังหวัดตาก,2543,4640,4336,8976
จังหวัดสุโขทัย,2543,2945,2754,5699
จังหวัดพิษณุโลก,2543,4068,3856,7924
จังหวัดพิจิตร,2543,3030,2797,5827
จังหวัดเพชรบูรณ์,2543,5227,4879,10106
จังหวัดราชบุรี,2543,6213,6082,12295
จังหวัดกาญจนบุรี,2543,4882,4613,9495
จังหวัดสุพรรณบุรี,2543,4767,4461,9228
จังหวัดนครปฐม,2543,5472,5187,10659
จังหวัดสมุทรสาคร,2543,4633,4284,8917
จังหวัดสมุทรสงคราม,2543,1030,1012,2042
จังหวัดเพชรบุรี,2543,2614,2534,5148
จังหวัดประจวบคีรีขันธ์,2543,3034,2929,5963
จังหวัดนครศรีธรรมราช,2543,9920,9605,19525
จังหวัดกระบี่,2543,3233,3048,6281
จังหวัดพังงา,2543,1662,1510,3172
จังหวัดภูเก็ต,2543,2863,2685,5548
จังหวัดสุราษฎร์ธานี,2543,7252,6824,14076
จังหวัดระนอง,2543,1247,1209,2456
จังหวัดชุมพร,2543,3593,3277,6870
จังหวัดสงขลา,2543,10791,10228,21019
จังหวัดสตูล,2543,2310,2123,4433
จังหวัดตรัง,2543,4061,3804,7865
จังหวัดพัทลุง,2543,3027,2789,5816
จังหวัดปัตตานี,2543,6451,6235,12686
จังหวัดยะลา,2543,5497,5035,10532
จังหวัดนราธิวาส,2543,6878,6503,13381
กรุงเทพมหานคร,2544,54455,51349,105804
จังหวัดสมุทรปราการ,2544,5059,4670,9729
จังหวัดนนทบุรี,2544,4764,4620,9384
จังหวัดปทุมธานี,2544,3525,3380,6905
จังหวัดพระนครศรีอยุธยา,2544,4411,4044,8455
จังหวัดอ่างทอง,2544,1230,1081,2311
จังหวัดลพบุรี,2544,4017,3763,7780
จังหวัดสิงห์บุรี,2544,1193,1202,2395
จังหวัดชัยนาท,2544,1134,1130,2264
จังหวัดสระบุรี,2544,3951,3566,7517
จังหวัดชลบุรี,2544,11234,10372,21606
จังหวัดระยอง,2544,3864,3578,7442
จังหวัดจันทบุรี,2544,3146,2949,6095
จังหวัดตราด,2544,1324,1189,2513
จังหวัดฉะเชิงเทรา,2544,3245,2942,6187
จังหวัดปราจีนบุรี,2544,2997,2753,5750
จังหวัดนครนายก,2544,1389,1314,2703
จังหวัดสระแก้ว,2544,3148,2909,6057
จังหวัดนครราชสีมา,2544,15119,14351,29470
จังหวัดบุรีรัมย์,2544,9605,8997,18602
จังหวัดสุรินทร์,2544,8295,7934,16229
จังหวัดศรีสะเกษ,2544,8495,7822,16317
จังหวัดอุบลราชธานี,2544,11820,11137,22957
จังหวัดยโสธร,2544,2990,2829,5819
จังหวัดชัยภูมิ,2544,5561,5172,10733
จังหวัดอำนาจเจริญ,2544,1970,1930,3900
จังหวัดหนองบัวลำภู,2544,2842,2749,5591
จังหวัดขอนแก่น,2544,10397,9920,20317
จังหวัดอุดรธานี,2544,9572,9161,18733
จังหวัดเลย,2544,3263,3164,6427
จังหวัดหนองคาย,2544,5367,5171,10538
จังหวัดมหาสารคาม,2544,4349,4040,8389
จังหวัดร้อยเอ็ด,2544,6412,5918,12330
จังหวัดกาฬสินธุ์,2544,4399,4342,8741
จังหวัดสกลนคร,2544,6955,6490,13445
จังหวัดนครพนม,2544,4355,4227,8582
จังหวัดมุกดาหาร,2544,2034,1917,3951
จังหวัดเชียงใหม่,2544,9441,8721,18162
จังหวัดลำพูน,2544,1541,1500,3041
จังหวัดลำปาง,2544,3106,2957,6063
จังหวัดอุตรดิตถ์,2544,2166,2013,4179
จังหวัดแพร่,2544,1728,1783,3511
จังหวัดน่าน,2544,2257,2092,4349
จังหวัดพะเยา,2544,2180,2027,4207
จังหวัดเชียงราย,2544,6048,5915,11963
จังหวัดแม่ฮ่องสอน,2544,2115,1929,4044
จังหวัดนครสวรรค์,2544,5386,5062,10448
จังหวัดอุทัยธานี,2544,1729,1573,3302
จังหวัดกำแพงเพชร,2544,3500,3273,6773
จังหวัดตาก,2544,4787,4518,9305
จังหวัดสุโขทัย,2544,2774,2603,5377
จังหวัดพิษณุโลก,2544,4334,4259,8593
จังหวัดพิจิตร,2544,2485,2313,4798
จังหวัดเพชรบูรณ์,2544,4667,4413,9080
จังหวัดราชบุรี,2544,5354,5111,10465
จังหวัดกาญจนบุรี,2544,4419,4181,8600
จังหวัดสุพรรณบุรี,2544,4239,3935,8174
จังหวัดนครปฐม,2544,5150,4724,9874
จังหวัดสมุทรสาคร,2544,4181,3965,8146
จังหวัดสมุทรสงคราม,2544,946,915,1861
จังหวัดเพชรบุรี,2544,2424,2289,4713
จังหวัดประจวบคีรีขันธ์,2544,3078,2744,5822
จังหวัดนครศรีธรรมราช,2544,9672,9244,18916
จังหวัดกระบี่,2544,3128,2892,6020
จังหวัดพังงา,2544,1625,1580,3205
จังหวัดภูเก็ต,2544,2660,2496,5156
จังหวัดสุราษฎร์ธานี,2544,6983,6743,13726
จังหวัดระนอง,2544,1107,994,2101
จังหวัดชุมพร,2544,3217,3000,6217
จังหวัดสงขลา,2544,10135,9604,19739
จังหวัดสตูล,2544,2155,2140,4295
จังหวัดตรัง,2544,4375,4081,8456
จังหวัดพัทลุง,2544,2879,2734,5613
จังหวัดปัตตานี,2544,6322,5986,12308
จังหวัดยะลา,2544,5286,5038,10324
จังหวัดนราธิวาส,2544,6780,6433,13213
กรุงเทพมหานคร,2545,56372,52977,109349
จังหวัดสมุทรปราการ,2545,5962,5635,11597
จังหวัดนนทบุรี,2545,4939,4516,9455
จังหวัดปทุมธานี,2545,4362,4137,8499
จังหวัดพระนครศรีอยุธยา,2545,4646,4251,8897
จังหวัดอ่างทอง,2545,1225,1089,2314
จังหวัดลพบุรี,2545,3907,3700,7607
จังหวัดสิงห์บุรี,2545,1209,1207,2416
จังหวัดชัยนาท,2545,1161,1110,2271
จังหวัดสระบุรี,2545,3909,3739,7648
จังหวัดชลบุรี,2545,11521,10858,22379
จังหวัดระยอง,2545,3895,3616,7511
จังหวัดจันทบุรี,2545,3023,2687,5710
จังหวัดตราด,2545,1283,1213,2496
จังหวัดฉะเชิงเทรา,2545,3239,3011,6250
จังหวัดปราจีนบุรี,2545,2933,2739,5672
จังหวัดนครนายก,2545,1433,1305,2738
จังหวัดสระแก้ว,2545,3023,2927,5950
จังหวัดนครราชสีมา,2545,14885,14233,29118
จังหวัดบุรีรัมย์,2545,9379,8889,18268
จังหวัดสุรินทร์,2545,8053,7511,15564
จังหวัดศรีสะเกษ,2545,7931,7582,15513
จังหวัดอุบลราชธานี,2545,11511,10833,22344
จังหวัดยโสธร,2545,2930,2661,5591
จังหวัดชัยภูมิ,2545,5156,4899,10055
จังหวัดอำนาจเจริญ,2545,2041,1858,3899
จังหวัดหนองบัวลำภู,2545,2882,2720,5602
จังหวัดขอนแก่น,2545,9994,9579,19573
จังหวัดอุดรธานี,2545,9668,9208,18876
จังหวัดเลย,2545,3248,3136,6384
จังหวัดหนองคาย,2545,4903,4632,9535
จังหวัดมหาสารคาม,2545,4220,3919,8139
จังหวัดร้อยเอ็ด,2545,5673,5378,11051
จังหวัดกาฬสินธุ์,2545,4718,4491,9209
จังหวัดสกลนคร,2545,5873,5771,11644
จังหวัดนครพนม,2545,4301,3881,8182
จังหวัดมุกดาหาร,2545,1923,1877,3800
จังหวัดเชียงใหม่,2545,9806,9216,19022
จังหวัดลำพูน,2545,1623,1543,3166
จังหวัดลำปาง,2545,3087,3018,6105
จังหวัดอุตรดิตถ์,2545,2356,2177,4533
จังหวัดแพร่,2545,1895,1782,3677
จังหวัดน่าน,2545,2228,2152,4380
จังหวัดพะเยา,2545,2012,1916,3928
จังหวัดเชียงราย,2545,5816,5463,11279
จังหวัดแม่ฮ่องสอน,2545,1958,1766,3724
จังหวัดนครสวรรค์,2545,5368,5191,10559
จังหวัดอุทัยธานี,2545,1796,1688,3484
จังหวัดกำแพงเพชร,2545,3491,3253,6744
จังหวัดตาก,2545,4871,4748,9619
จังหวัดสุโขทัย,2545,2726,2553,5279
จังหวัดพิษณุโลก,2545,4309,4109,8418
จังหวัดพิจิตร,2545,2482,2302,4784
จังหวัดเพชรบูรณ์,2545,4710,4562,9272
จังหวัดราชบุรี,2545,5682,5345,11027
จังหวัดกาญจนบุรี,2545,4936,4701,9637
จังหวัดสุพรรณบุรี,2545,4344,4157,8501
จังหวัดนครปฐม,2545,5374,5067,10441
จังหวัดสมุทรสาคร,2545,4917,4671,9588
จังหวัดสมุทรสงคราม,2545,944,905,1849
จังหวัดเพชรบุรี,2545,2483,2193,4676
จังหวัดประจวบคีรีขันธ์,2545,3004,2915,5919
จังหวัดนครศรีธรรมราช,2545,9483,9042,18525
จังหวัดกระบี่,2545,2881,2719,5600
จังหวัดพังงา,2545,1565,1436,3001
จังหวัดภูเก็ต,2545,3154,2845,5999
จังหวัดสุราษฎร์ธานี,2545,7379,6976,14355
จังหวัดระนอง,2545,1157,1064,2221
จังหวัดชุมพร,2545,3164,3031,6195
จังหวัดสงขลา,2545,10514,9855,20369
จังหวัดสตูล,2545,2331,2221,4552
จังหวัดตรัง,2545,4488,4105,8593
จังหวัดพัทลุง,2545,2881,2589,5470
จังหวัดปัตตานี,2545,6475,6282,12757
จังหวัดยะลา,2545,5449,4969,10418
จังหวัดนราธิวาส,2545,6688,6327,13015
กรุงเทพมหานคร,2546,57018,53101,110119
จังหวัดสมุทรปราการ,2546,6504,5836,12340
จังหวัดนนทบุรี,2546,4400,4211,8611
จังหวัดปทุมธานี,2546,4695,4381,9076
จังหวัดพระนครศรีอยุธยา,2546,4685,4300,8985
จังหวัดอ่างทอง,2546,1493,1415,2908
จังหวัดลพบุรี,2546,4044,3826,7870
จังหวัดสิงห์บุรี,2546,1256,1168,2424
จังหวัดชัยนาท,2546,1319,1238,2557
จังหวัดสระบุรี,2546,4479,4225,8704
จังหวัดชลบุรี,2546,12101,11398,23499
จังหวัดระยอง,2546,4462,4130,8592
จังหวัดจันทบุรี,2546,3189,3074,6263
จังหวัดตราด,2546,1355,1327,2682
จังหวัดฉะเชิงเทรา,2546,3824,3721,7545
จังหวัดปราจีนบุรี,2546,2887,2774,5661
จังหวัดนครนายก,2546,1497,1400,2897
จังหวัดสระแก้ว,2546,3247,2899,6146
จังหวัดนครราชสีมา,2546,15129,14359,29488
จังหวัดบุรีรัมย์,2546,8490,8214,16704
จังหวัดสุรินทร์,2546,8164,7517,15681
จังหวัดศรีสะเกษ,2546,7558,7149,14707
จังหวัดอุบลราชธานี,2546,11482,10925,22407
จังหวัดยโสธร,2546,2898,2746,5644
จังหวัดชัยภูมิ,2546,5312,5193,10505
จังหวัดอำนาจเจริญ,2546,1688,1661,3349
จังหวัดหนองบัวลำภู,2546,2805,2610,5415
จังหวัดขอนแก่น,2546,9958,9111,19069
จังหวัดอุดรธานี,2546,9421,8987,18408
จังหวัดเลย,2546,3479,3265,6744
จังหวัดหนองคาย,2546,5033,4968,10001
จังหวัดมหาสารคาม,2546,4074,3869,7943
จังหวัดร้อยเอ็ด,2546,5771,5587,11358
จังหวัดกาฬสินธุ์,2546,4769,4611,9380
จังหวัดสกลนคร,2546,6726,6386,13112
จังหวัดนครพนม,2546,3812,3638,7450
จังหวัดมุกดาหาร,2546,1878,1763,3641
จังหวัดเชียงใหม่,2546,9907,9328,19235
จังหวัดลำพูน,2546,1628,1508,3136
จังหวัดลำปาง,2546,3068,2798,5866
จังหวัดอุตรดิตถ์,2546,2243,2138,4381
จังหวัดแพร่,2546,1910,1757,3667
จังหวัดน่าน,2546,2135,2114,4249
จังหวัดพะเยา,2546,1967,1816,3783
จังหวัดเชียงราย,2546,5825,5398,11223
จังหวัดแม่ฮ่องสอน,2546,1775,1767,3542
จังหวัดนครสวรรค์,2546,5448,5076,10524
จังหวัดอุทัยธานี,2546,1680,1518,3198
จังหวัดกำแพงเพชร,2546,3564,3331,6895
จังหวัดตาก,2546,4835,4643,9478
จังหวัดสุโขทัย,2546,2805,2452,5257
จังหวัดพิษณุโลก,2546,4212,4132,8344
จังหวัดพิจิตร,2546,2567,2465,5032
จังหวัดเพชรบูรณ์,2546,4913,4664,9577
จังหวัดราชบุรี,2546,5880,5595,11475
จังหวัดกาญจนบุรี,2546,4983,4565,9548
จังหวัดสุพรรณบุรี,2546,4603,4295,8898
จังหวัดนครปฐม,2546,5635,5504,11139
จังหวัดสมุทรสาคร,2546,4625,4442,9067
จังหวัดสมุทรสงคราม,2546,943,846,1789
จังหวัดเพชรบุรี,2546,2518,2508,5026
จังหวัดประจวบคีรีขันธ์,2546,2990,2904,5894
จังหวัดนครศรีธรรมราช,2546,9355,8974,18329
จังหวัดกระบี่,2546,3099,2883,5982
จังหวัดพังงา,2546,1551,1505,3056
จังหวัดภูเก็ต,2546,3280,2970,6250
จังหวัดสุราษฎร์ธานี,2546,7225,6794,14019
จังหวัดระนอง,2546,1037,952,1989
จังหวัดชุมพร,2546,3206,2936,6142
จังหวัดสงขลา,2546,10394,9862,20256
จังหวัดสตูล,2546,2183,2140,4323
จังหวัดตรัง,2546,4316,3924,8240
จังหวัดพัทลุง,2546,2811,2671,5482
จังหวัดปัตตานี,2546,6513,6249,12762
จังหวัดยะลา,2546,5563,5113,10676
จังหวัดนราธิวาส,2546,6534,6297,12831
กรุงเทพมหานคร,2547,60444,56452,116896
จังหวัดสมุทรปราการ,2547,8134,7546,15680
จังหวัดนนทบุรี,2547,6082,5667,11749
จังหวัดปทุมธานี,2547,5972,5768,11740
จังหวัดพระนครศรีอยุธยา,2547,5168,4787,9955
จังหวัดอ่างทอง,2547,1496,1334,2830
จังหวัดลพบุรี,2547,4292,4108,8400
จังหวัดสิงห์บุรี,2547,1246,1235,2481
จังหวัดชัยนาท,2547,1357,1269,2626
จังหวัดสระบุรี,2547,4683,4454,9137
จังหวัดชลบุรี,2547,13232,12506,25738
จังหวัดระยอง,2547,4824,4615,9439
จังหวัดจันทบุรี,2547,3534,3341,6875
จังหวัดตราด,2547,1446,1359,2805
จังหวัดฉะเชิงเทรา,2547,4363,4109,8472
จังหวัดปราจีนบุรี,2547,3034,2926,5960
จังหวัดนครนายก,2547,1569,1596,3165
จังหวัดสระแก้ว,2547,3255,3023,6278
จังหวัดนครราชสีมา,2547,15202,14316,29518
จังหวัดบุรีรัมย์,2547,9418,8878,18296
จังหวัดสุรินทร์,2547,7993,7860,15853
จังหวัดศรีสะเกษ,2547,7693,7325,15018
จังหวัดอุบลราชธานี,2547,11823,11108,22931
จังหวัดยโสธร,2547,2745,2708,5453
จังหวัดชัยภูมิ,2547,5718,5293,11011
จังหวัดอำนาจเจริญ,2547,2088,1965,4053
จังหวัดหนองบัวลำภู,2547,2871,2710,5581
จังหวัดขอนแก่น,2547,10599,10045,20644
จังหวัดอุดรธานี,2547,9201,8878,18079
จังหวัดเลย,2547,3603,3440,7043
จังหวัดหนองคาย,2547,5381,5114,10495
จังหวัดมหาสารคาม,2547,4309,4263,8572
จังหวัดร้อยเอ็ด,2547,6093,5830,11923
จังหวัดกาฬสินธุ์,2547,5115,4763,9878
จังหวัดสกลนคร,2547,7298,6892,14190
จังหวัดนครพนม,2547,4106,4043,8149
จังหวัดมุกดาหาร,2547,1615,1647,3262
จังหวัดเชียงใหม่,2547,10346,9751,20097
จังหวัดลำพูน,2547,1729,1567,3296
จังหวัดลำปาง,2547,3108,2933,6041
จังหวัดอุตรดิตถ์,2547,2005,1915,3920
จังหวัดแพร่,2547,1877,1782,3659
จังหวัดน่าน,2547,2318,2186,4504
จังหวัดพะเยา,2547,2060,2068,4128
จังหวัดเชียงราย,2547,6201,5848,12049
จังหวัดแม่ฮ่องสอน,2547,2076,1968,4044
จังหวัดนครสวรรค์,2547,5703,5382,11085
จังหวัดอุทัยธานี,2547,1833,1740,3573
จังหวัดกำแพงเพชร,2547,3746,3516,7262
จังหวัดตาก,2547,4677,4475,9152
จังหวัดสุโขทัย,2547,2886,2718,5604
จังหวัดพิษณุโลก,2547,4332,3916,8248
จังหวัดพิจิตร,2547,2517,2314,4831
จังหวัดเพชรบูรณ์,2547,4953,4802,9755
จังหวัดราชบุรี,2547,4613,4476,9089
จังหวัดกาญจนบุรี,2547,5600,5369,10969
จังหวัดสุพรรณบุรี,2547,4943,4593,9536
จังหวัดนครปฐม,2547,6157,5779,11936
จังหวัดสมุทรสาคร,2547,5506,5180,10686
จังหวัดสมุทรสงคราม,2547,987,893,1880
จังหวัดเพชรบุรี,2547,2672,2662,5334
จังหวัดประจวบคีรีขันธ์,2547,3271,2980,6251
จังหวัดนครศรีธรรมราช,2547,9617,9074,18691
จังหวัดกระบี่,2547,3607,3397,7004
จังหวัดพังงา,2547,1672,1611,3283
จังหวัดภูเก็ต,2547,3273,3155,6428
จังหวัดสุราษฎร์ธานี,2547,7395,7258,14653
จังหวัดระนอง,2547,1116,1071,2187
จังหวัดชุมพร,2547,3324,3177,6501
จังหวัดสงขลา,2547,11027,10534,21561
จังหวัดสตูล,2547,2477,2346,4823
จังหวัดตรัง,2547,4527,4140,8667
จังหวัดพัทลุง,2547,2926,2754,5680
จังหวัดปัตตานี,2547,6290,5942,12232
จังหวัดยะลา,2547,5455,5011,10466
จังหวัดนราธิวาส,2547,6940,6373,13313
กรุงเทพมหานคร,2548,57775,54093,111868
จังหวัดสมุทรปราการ,2548,7830,7404,15234
จังหวัดนนทบุรี,2548,5896,5543,11439
จังหวัดปทุมธานี,2548,6365,5595,11960
จังหวัดพระนครศรีอยุธยา,2548,5056,4835,9891
จังหวัดอ่างทอง,2548,1520,1460,2980
จังหวัดลพบุรี,2548,4208,3962,8170
จังหวัดสิงห์บุรี,2548,1218,1275,2493
จังหวัดชัยนาท,2548,1408,1380,2788
จังหวัดสระบุรี,2548,4596,4268,8864
จังหวัดชลบุรี,2548,13685,12994,26679
จังหวัดระยอง,2548,4902,4762,9664
จังหวัดจันทบุรี,2548,3293,3100,6393
จังหวัดตราด,2548,1432,1306,2738
จังหวัดฉะเชิงเทรา,2548,3978,3994,7972
จังหวัดปราจีนบุรี,2548,2988,3004,5992
จังหวัดนครนายก,2548,1672,1603,3275
จังหวัดสระแก้ว,2548,3216,3024,6240
จังหวัดนครราชสีมา,2548,14624,13992,28616
จังหวัดบุรีรัมย์,2548,9225,8614,17839
จังหวัดสุรินทร์,2548,7961,7571,15532
จังหวัดศรีสะเกษ,2548,7504,7037,14541
จังหวัดอุบลราชธานี,2548,11328,10765,22093
จังหวัดยโสธร,2548,2597,2451,5048
จังหวัดชัยภูมิ,2548,5479,5223,10702
จังหวัดอำนาจเจริญ,2548,2009,1943,3952
จังหวัดหนองบัวลำภู,2548,2769,2678,5447
จังหวัดขอนแก่น,2548,10208,9724,19932
จังหวัดอุดรธานี,2548,9011,8513,17524
จังหวัดเลย,2548,3486,3355,6841
จังหวัดหนองคาย,2548,5296,4931,10227
จังหวัดมหาสารคาม,2548,4171,4144,8315
จังหวัดร้อยเอ็ด,2548,5985,5675,11660
จังหวัดกาฬสินธุ์,2548,4896,4674,9570
จังหวัดสกลนคร,2548,7121,6766,13887
จังหวัดนครพนม,2548,4171,3957,8128
จังหวัดมุกดาหาร,2548,1682,1679,3361
จังหวัดเชียงใหม่,2548,10074,9680,19754
จังหวัดลำพูน,2548,1717,1593,3310
จังหวัดลำปาง,2548,3092,2821,5913
จังหวัดอุตรดิตถ์,2548,2334,2143,4477
จังหวัดแพร่,2548,1869,1712,3581
จังหวัดน่าน,2548,2228,2054,4282
จังหวัดพะเยา,2548,2071,1883,3954
จังหวัดเชียงราย,2548,5886,5808,11694
จังหวัดแม่ฮ่องสอน,2548,1987,1774,3761
จังหวัดนครสวรรค์,2548,5438,5249,10687
จังหวัดอุทัยธานี,2548,1741,1688,3429
จังหวัดกำแพงเพชร,2548,3680,3352,7032
จังหวัดตาก,2548,5141,4962,10103
จังหวัดสุโขทัย,2548,2865,2564,5429
จังหวัดพิษณุโลก,2548,4538,4199,8737
จังหวัดพิจิตร,2548,2484,2383,4867
จังหวัดเพชรบูรณ์,2548,4724,4603,9327
จังหวัดราชบุรี,2548,5275,4989,10264
จังหวัดกาญจนบุรี,2548,5494,5118,10612
จังหวัดสุพรรณบุรี,2548,4720,4482,9202
จังหวัดนครปฐม,2548,5790,5347,11137
จังหวัดสมุทรสาคร,2548,5491,5106,10597
จังหวัดสมุทรสงคราม,2548,978,924,1902
จังหวัดเพชรบุรี,2548,2757,2644,5401
จังหวัดประจวบคีรีขันธ์,2548,3268,3061,6329
จังหวัดนครศรีธรรมราช,2548,9420,8799,18219
จังหวัดกระบี่,2548,3761,3596,7357
จังหวัดพังงา,2548,1647,1602,3249
จังหวัดภูเก็ต,2548,3527,3328,6855
จังหวัดสุราษฎร์ธานี,2548,7721,7231,14952
จังหวัดระนอง,2548,1144,1112,2256
จังหวัดชุมพร,2548,3244,3139,6383
จังหวัดสงขลา,2548,11122,10343,21465
จังหวัดสตูล,2548,2428,2337,4765
จังหวัดตรัง,2548,4645,4388,9033
จังหวัดพัทลุง,2548,2989,2786,5775
จังหวัดปัตตานี,2548,6249,5931,12180
จังหวัดยะลา,2548,5251,5162,10413
จังหวัดนราธิวาส,2548,6860,6409,13269
กรุงเทพมหานคร,2549,56923,53001,109924
จังหวัดสมุทรปราการ,2549,9649,8918,18567
จังหวัดนนทบุรี,2549,6019,5763,11782
จังหวัดปทุมธานี,2549,7831,7265,15096
จังหวัดพระนครศรีอยุธยา,2549,5002,4849,9851
จังหวัดอ่างทอง,2549,1475,1403,2878
จังหวัดลพบุรี,2549,3956,3827,7783
จังหวัดสิงห์บุรี,2549,1163,1074,2237
จังหวัดชัยนาท,2549,1460,1388,2848
จังหวัดสระบุรี,2549,4571,4260,8831
จังหวัดชลบุรี,2549,14310,13443,27753
จังหวัดระยอง,2549,4952,4731,9683
จังหวัดจันทบุรี,2549,3301,3139,6440
จังหวัดตราด,2549,1351,1254,2605
จังหวัดฉะเชิงเทรา,2549,4175,4094,8269
จังหวัดปราจีนบุรี,2549,3083,2846,5929
จังหวัดนครนายก,2549,1541,1431,2972
จังหวัดสระแก้ว,2549,3075,2921,5996
จังหวัดนครราชสีมา,2549,14101,13203,27304
จังหวัดบุรีรัมย์,2549,8666,7866,16532
จังหวัดสุรินทร์,2549,7388,6931,14319
จังหวัดศรีสะเกษ,2549,7396,6871,14267
จังหวัดอุบลราชธานี,2549,10810,10251,21061
จังหวัดยโสธร,2549,2484,2379,4863
จังหวัดชัยภูมิ,2549,5330,4994,10324
จังหวัดอำนาจเจริญ,2549,1993,1820,3813
จังหวัดหนองบัวลำภู,2549,2760,2621,5381
จังหวัดขอนแก่น,2549,9943,9390,19333
จังหวัดอุดรธานี,2549,8720,8328,17048
จังหวัดเลย,2549,3444,3219,6663
จังหวัดหนองคาย,2549,5076,4863,9939
จังหวัดมหาสารคาม,2549,4128,3868,7996
จังหวัดร้อยเอ็ด,2549,5763,5359,11122
จังหวัดกาฬสินธุ์,2549,4748,4478,9226
จังหวัดสกลนคร,2549,7024,6463,13487
จังหวัดนครพนม,2549,3990,3854,7844
จังหวัดมุกดาหาร,2549,1996,1858,3854
จังหวัดเชียงใหม่,2549,10470,9680,20150
จังหวัดลำพูน,2549,1741,1580,3321
จังหวัดลำปาง,2549,2794,2636,5430
จังหวัดอุตรดิตถ์,2549,2180,1960,4140
จังหวัดแพร่,2549,1662,1655,3317
จังหวัดน่าน,2549,2218,2130,4348
จังหวัดพะเยา,2549,1973,1898,3871
จังหวัดเชียงราย,2549,5818,5590,11408
จังหวัดแม่ฮ่องสอน,2549,1921,1798,3719
จังหวัดนครสวรรค์,2549,5423,5143,10566
จังหวัดอุทัยธานี,2549,1774,1655,3429
จังหวัดกำแพงเพชร,2549,3370,3265,6635
จังหวัดตาก,2549,4399,4292,8691
จังหวัดสุโขทัย,2549,2768,2478,5246
จังหวัดพิษณุโลก,2549,4419,4150,8569
จังหวัดพิจิตร,2549,2503,2430,4933
จังหวัดเพชรบูรณ์,2549,4719,4313,9032
จังหวัดราชบุรี,2549,5898,5499,11397
จังหวัดกาญจนบุรี,2549,5370,4916,10286
จังหวัดสุพรรณบุรี,2549,4684,4490,9174
จังหวัดนครปฐม,2549,4881,4724,9605
จังหวัดสมุทรสาคร,2549,6220,5756,11976
จังหวัดสมุทรสงคราม,2549,903,762,1665
จังหวัดเพชรบุรี,2549,2862,2602,5464
จังหวัดประจวบคีรีขันธ์,2549,3338,2983,6321
จังหวัดนครศรีธรรมราช,2549,9339,8938,18277
จังหวัดกระบี่,2549,3762,3418,7180
จังหวัดพังงา,2549,1751,1655,3406
จังหวัดภูเก็ต,2549,3615,3258,6873
จังหวัดสุราษฎร์ธานี,2549,7699,7378,15077
จังหวัดระนอง,2549,1134,1115,2249
จังหวัดชุมพร,2549,3205,3016,6221
จังหวัดสงขลา,2549,10974,10300,21274
จังหวัดสตูล,2549,2426,2305,4731
จังหวัดตรัง,2549,4785,4479,9264
