พัทลุง,34766.64697,32901.66204,32195.39935,36434.91185,36529.32966,36238.91835,37587.45505,38126.31599
ปัตตานี,48666.42399,48995.78269,49238.94594,54346.81426,46177.34202,48361.40232,49887.17058,48929.36925
ชลบุรี,682615.8841,732921.2721,794048.4817,897452.0799,947015.1761,994829.7883,1028098.439,892061.7635
ฉะเชิงเทรา,319036.6614,324126.7483,317589.6295,341495.3843,342925.5882,390945.1557,389284.9934,346104.0626
ระยอง,856927.5892,869327.3705,842645.5848,875497.5777,970067.0635,1038958.846,1013499.449,857190.7872
ตราด,34982.15313,36712.38785,36870.18827,36939.20606,45168.13026,40953.25323,43765.37764,45348.86156
จันทบุรี,99166.61069,101074.1517,104111.0662,105958.3098,131137.7105,117392.2019,130506.114,142686.6871
นครนายก,24386.05362,23387.82332,24226.4289,25476.9128,26346.98039,29946.5682,30821.86458,31158.31713
ปราจีนบุรี,213582.2201,218043.69,207179.4194,230164.6077,297167.0074,323267.1785,352482.5757,326112.8002
สระแก้ว,34743,36231,38185,40830,43719,48320,48143,46558
ราชบุรี,144593.0676,154765.5118,162718.4712,177370.5174,176276.3878,187795.065,191720.3394,180496.1083
กาญจนบุรี,85965.47002,87980.16823,88324.12736,93733.71485,97564.31318,108027.6889,108358.8312,102856.6352
ประจวบคีรีขันธ์,71825.67554,75637.36598,80338.01183,87251.40983,94298.11812,95742.43189,97178.95475,91553.6665
เพชรบุรี,60507.57299,59291.94414,60844.89079,63393.46299,69850.77592,72064.3634,74422.4194,71933.70714
สุพรรณบุรี,82381.55733,79516.47947,83861.83022,81939.043,86929.99606,93524.22781,92045.06454,89627.85147
สมุทรสงคราม,17400.72286,18702.81884,19603.33934,20421.55592,24538.42801,25636.03709,27044.73119,26919.55347
สระบุรี,205652.2264,213084.7221,218737.7914,238743.6838,235759.1108,251328.4697,256137.9592,245041.649
สิงห์บุรี,27749.37398,25646.9761,24364.29895,25194.26109,26596.00493,27627.61749,27828.69904,26389.03394
