ภาคเหนือ,สุโขทัย,14320.57,15311.5,14905,17246.4,16101.76,14968.09,14548.42,15166.31,14097.73,14033.63
ภาคเหนือ,พิษณุโลก,17458.55,19927.9,19002.98,17649.6,17731.79,19338.22,18048.53,18124.65,19387.4,19300.6
ภาคเหนือ,พิจิตร,15483.6,14791,18687.19,16854.3,17734.08,15868.65,16601.52,15752.25,16327.4,17398.17
ภาคเหนือ,เพชรบูรณ์,13879.27,13788.9,15598.93,16140.8,16444.81,16696.21,17528.49,16222.51,19724.79,17743.26
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,15396.63,15618.2,17771.26,18645.4,18488.78,17840.83,18195.67,16888.61,17939.45,16289.06
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,12938.87,14342.9,13951.72,16086.5,13053.88,12686.46,14580.11,13502.86,15289.74,18834.94
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,14746.46,18583.8,17068.78,18536.9,16289.26,16306.82,18208.86,18003.99,18999.16,20018.13
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,12837.46,13367.5,14609.03,18124.4,14129.29,15838.4,13798.05,14676.47,14268.78,13443.72
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,14754.66,13586.5,15477.57,13848.2,13997.21,16045.66,14769.7,13496.02,15135.26,15751.71
ภาคตะวันออกเฉียงเหนือ,ยโสธร,12109.63,12549.1,15867.23,14453.2,15979.68,13554.46,12748.09,13591.4,12907.04,14391.11
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,16090.09,15022.1,17162.94,16332.1,17704.8,17237.63,15591.56,15402.15,15930.45,16177.83
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,14240.34,14161.8,17528.52,17029.2,15550.34,16575.21,14612.97,16693.42,15184.77,17206.77
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,17098.45,20282.5,20073.17,23696.6,22238.65,19661.96,18347.12,22225.38,21421.45,19539.55
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,13355.66,13663.7,17622.34,18760.7,21456.95,19043.4,17295.58,16007.8,21173.43,17840.51
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,12677.47,13914.7,15700.07,16880,15091.55,16544.29,17589.11,17662.59,17320.99,15054.6
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,18346.97,21438.9,21619.51,22535.1,19103.2,20015.07,18696.16,22576.64,16692.86,19747.02
ภาคตะวันออกเฉียงเหนือ,เลย,14313.8,14916.2,15789.06,16231.7,18625.25,19102.7,21055.18,19220.31,21015.45,21012.91
ภาคตะวันออกเฉียงเหนือ,หนองคาย,15011.95,15670.3,18360.73,19277.7,16532.3,18815.11,18129.21,19104.4,18943.82,17903.2
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,14714.21,15506.2,14253.58,14654.2,18430.56,17664.79,17286.87,18308.83,19027.99,20000.26
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,16708.42,15347.5,17761.85,17755.5,16379.71,16770.21,15685.74,17320.4,15738.71,15606.7
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,11150.95,12445.2,12178.38,12746.6,11970.07,11541.28,11857.86,13076.14,13544.26,14398.96
ภาคตะวันออกเฉียงเหนือ,สกลนคร,11232.68,13021.3,13474.68,14549,15268.78,15159.1,15130.25,14840.92,16318.73,16757.96
ภาคตะวันออกเฉียงเหนือ,นครพนม,10826.03,11447.1,12562.25,13973.1,13501.08,13324.5,14416.97,16233.73,16187.32,15604.73
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,13015.83,13146.4,15202.76,17767,17021.91,18368.81,15761.48,14901.97,17546.03,17970.94
ภาคใต้,นครศรีธรรมราช,22102.2,19364.2,20661.17,19828.7,21011.81,20051.18,21135.24,19170.64,18940.91,19574.79
ภาคใต้,กระบี่,19536.1,20835.7,32836.66,28403.2,24823.83,24925.19,24326.12,23275.81,26631.25,24233.52
ภาคใต้,พังงา,19208.84,17899.6,21719.34,20716.9,20255.66,19958.35,20703.32,17998.67,19292.16,21200.6
ภาคใต้,ภูเก็ต,27151.22,25337.5,28111.37,27435.4,30238.67,32853.12,30992.5,32762.88,31346.83,32944.35
ภาคใต้,สุราษฎร์ธานี,27927.27,28118.6,26410.48,26165.3,24743.15,24186.29,25212.15,23489.94,23307.61,25539.36
ภาคใต้,ระนอง,20343.22,22586.6,18246.94,18616.9,18511.33,18496.89,17130.73,17186.76,17945.54,17916.32
ภาคใต้,ชุมพร,23952.43,22552.3,23985.4,24541.8,22933.28,24143.88,20692.85,20193.54,21040.06,21500.62
ภาคใต้,สงขลา,21382.6,21669.8,21744.26,23617.3,23466.01,23693.16,21127.92,18017.38,18136.34,19655.98
ภาคใต้,สตูล,20189.97,22714.7,19715.22,19591.2,20732.92,18810.72,19335.78,18589.49,20127.52,20845.48
ภาคใต้,ตรัง,19617.83,20922.3,17107.1,19794.9,18599.29,18768.44,18648.61,20143.01,17904.52,18296.68
ภาคใต้,พัทลุง,18404.19,16635.7,18514.03,17143.3,18420.66,16807.88,15947.09,15848.77,16817.89,17578.04
ภาคใต้,ปัตตานี,14119.15,16668.1,14809.34,15341.1,17962.18,16948.61,15705.85,15948.56,14862.49,15392.67
ภาคใต้,ยะลา,12883.1,12521.7,12370.15,13453.9,14122.15,15483.63,13301.01,13595.63,14141.04,14927.64
ภาคใต้,นราธิวาส,12686.17,13727.8,11985.95,13717.4,13065.8,14980.1,15630.54,14572.65,15126.26,17088.68
